testID,scientificNameID,scientificName,kingdom,phylum,class,family,genus,genericName,specificEpithet,taxonRank,scientificNameAuthorship,vernacularName,Response.status,Response.result,Response.comment
028_11,,Graphis,,,,,,,,,,,NOT_AMENDED,,"dwc:scientificName=""Graphis"" is ambiguous as could be either a lichen or a gastropod."
028_12,,Graphis,,,,,,,,,"Adanson, 1763",,FILLED_IN,"{""dwc:scientificNameID"":""urn:lsid:irmng.org:taxname:1361721""}","dwc:scientificName=""Graphis"" is ambigous but can be disambiguated to a single taxon by the value in dwc:scientificNameAuthorship=""Adanson, 1763"" identifying the taxon as a lichen"
028_13,,Eucalyptus Cam.,,,,,,,,Species,,,NOT_AMENDED,,"dwc:scientificName is ambiguous. The ""cam"" specific epithet could refer to Eucalyptus cambageana, Eucalyptus cameronii, Eucalyptus camfieldii, Eucalyptus campanulata, Eucalyptus campaspe or Eucalyptus camphora"
028_14,,Graphis,,,,,,,,,"Jeffreys, 1867",,FILLED_IN,"{""dwc:scientificNameID"":""urn:lsid:irmng.org:taxname:1361722""}","dwc:scientificName=""Graphis"" is ambigous but can be disambiguated to a single taxon by the value in dwc:scientificNameAuthorship=""Jeffreys, 1867"" identifying the taxon as a gastropod"
028_15,,Graphis,Animalia,,,,,,,,,,FILLED_IN,"{""dwc:scientificNameID"":""urn:lsid:marinespecies.org:taxname:137787""}","dwc:scientificName=""Graphis"" is ambigous but can be disambiguated to a single taxon by the value in dwc:kingdom=Animalia"" identifying the taxon as a gastropod"
028_16,,Graphis,,,Lecanoromycetes,,,,,,,,FILLED_IN,"{""dwc:scientificNameID"":""gbif:2602041""}","dwc:scientificName=""Graphis"" is ambigous but can be disambiguated to a single taxon by the value in dwc:class=Lecanoromycetes"" identifying the taxon as a lichen."
028_17,,"Chicoreus palmarosae (Lamarck, 1822)",Animalia,Mollusca,Gastropoda,Muricidae,Chicoreus,Chicoreus,palmarosae,,"(Lamarck, 1822)",,FILLED_IN,"{""dwc:scientificNameID"":""gbif:4365662""}","dwc:scientificName matched to unique taxon record in GBIF Backbone, exact match on name and authorship.  Resolvable at https://marinespecies.org/aphia.php?p=taxdetails&id=208134"
028_18,,"Triplex rosarium Perry, 1811",Animalia,Mollusca,Gastropoda,Muricidae,Chicoreus,Triplex,rosarium,,"Perry, 1811",,NOT_AMENDED,,"dwc:scientificName matched to unique taxon record in GBIF, unique fuzzy match on name (Triplex Rosaria) and exact match on authorship."
028_19,,"Graphis Jeffreys, 1867",,,,,,,,,"Jeffreys, 1867",,FILLED_IN,"{""dwc:scientificNameID"":""gbif:2300979""}","dwc:scientificName=""Graphis"" is ambigous but can be disambiguated to a single taxon by the value in dwc:scientificNameAuthorship=""Jeffreys, 1867"" identifying the taxon as a gastropod"
028_20,,"Graphis Adans., 1763",,,,,,,,,"Adans., 1763",,FILLED_IN,"{""dwc:scientificNameID"":""gbif:2602041""}","dwc:scientificName=""Graphis"" is ambigous but can be disambiguated to a single taxon by the value in dwc:scientificNameAuthorship=""Adans., 1763"" identifying the taxon as a lichen"
